audio_file,target_word,participant_id,native_language,condition,accent_condition,talker,pass_number,trial_number,word_number,take_number,spoken_form,practice_note
practice_audio/english/chocolate.mp3,chocolate,practice_english,english,practice,english,Samantha,,1,1,,chocolate,Remote manifest demo sample
practice_audio/english/coffee.mp3,coffee,practice_english,english,practice,english,Samantha,,2,2,,coffee,Remote manifest demo sample
practice_audio/english/pizza.mp3,pizza,practice_english,english,practice,english,Samantha,,3,3,,pizza,Remote manifest demo sample
practice_audio/english/sofa.mp3,sofa,practice_english,english,practice,english,Samantha,,4,4,,sofa,Remote manifest demo sample
practice_audio/japanese/chocolate.mp3,chocolate,practice_japanese,japanese,practice,japanese,Kyoko,,1,1,,chocolate,Remote manifest demo sample
practice_audio/japanese/coffee.mp3,coffee,practice_japanese,japanese,practice,japanese,Kyoko,,2,2,,coffee,Remote manifest demo sample
practice_audio/japanese/pizza.mp3,pizza,practice_japanese,japanese,practice,japanese,Kyoko,,3,3,,pizza,Remote manifest demo sample
practice_audio/japanese/sofa.mp3,sofa,practice_japanese,japanese,practice,japanese,Kyoko,,4,4,,sofa,Remote manifest demo sample
practice_audio/chinese/chocolate.mp3,chocolate,practice_chinese,chinese,practice,chinese,Tingting,,1,1,,chocolate,Remote manifest demo sample
practice_audio/chinese/coffee.mp3,coffee,practice_chinese,chinese,practice,chinese,Tingting,,2,2,,coffee,Remote manifest demo sample
practice_audio/chinese/pizza.mp3,pizza,practice_chinese,chinese,practice,chinese,Tingting,,3,3,,pizza,Remote manifest demo sample
practice_audio/chinese/sofa.mp3,sofa,practice_chinese,chinese,practice,chinese,Tingting,,4,4,,sofa,Remote manifest demo sample
